id,ChEBI,CID
s_0341[c],CHEBI:17830,5460128
s_0342[e],CHEBI:17830,5460128
s_0343[c],CHEBI:17001,135398602
s_0344[m],CHEBI:17001,135398602
s_0345[c],CHEBI:58762,135398607
s_0346[c],CHEBI:58462,135398609
s_0347[c],CHEBI:17839,135476773
s_0348[m],CHEBI:17839,135476773
s_0349[c],CHEBI:58394,5460215
s_0350[m],CHEBI:58394,5460215
s_0352[c],CHEBI:15830,173
s_0354[e],CHEBI:15830,173
s_0357[c],CHEBI:17712,1188
s_0358[e],CHEBI:17712,1188
s_0359[c],CHEBI:15343,177
s_0360[e],CHEBI:15343,177
s_0361[m],CHEBI:15343,177
s_0362[c],CHEBI:30089,175
s_0363[er],CHEBI:30089,175
s_0364[e],CHEBI:30089,175
s_0365[m],CHEBI:30089,175
s_0366[n],CHEBI:30089,175
s_0367[c],CHEBI:57286,45266540
s_0370[m],CHEBI:57286,45266540
s_0372[m],CHEBI:17093,
s_0373[c],CHEBI:57288,45266541
s_0376[m],CHEBI:57288,45266541
s_0377[n],CHEBI:57288,45266541
s_0378[p],CHEBI:57288,45266541
s_0383[c],CHEBI:16708,190
s_0384[e],CHEBI:16708,190
s_0385[m],CHEBI:16708,190
s_0386[c],CHEBI:16335,60961
s_0387[e],CHEBI:16335,60961
s_0389[c],CHEBI:28223,94136
s_0390[c],CHEBI:58343,23615194
s_0391[e],CHEBI:58343,23615194
s_0392[m],CHEBI:58343,23615194
s_0393[c],CHEBI:57567,46878398
s_0394[c],CHEBI:456216,7058055
s_0395[er],CHEBI:456216,7058055
s_0397[m],CHEBI:456216,7058055
s_0398[n],CHEBI:456216,7058055
s_0399[p],CHEBI:456216,7058055
s_0402[n],CHEBI:57967,49791958
s_0403[c],CHEBI:58475,45266657
s_0404[c],CHEBI:17732,
s_0405[c],CHEBI:17536,5287444
s_0406[e],CHEBI:17536,5287444
s_0407[c],CHEBI:15676,204
s_0408[e],CHEBI:15676,204
s_0409[c],CHEBI:58429,25246105
s_0410[c],CHEBI:58336,7098639
s_0411[c],CHEBI:58516,25243931
s_0412[c],CHEBI:15873,439217
s_0413[e],CHEBI:15873,439217
s_0414[g],CHEBI:28067,45259177
s_0415[c],CHEBI:57720,23615443
s_0416[m],CHEBI:57720,23615443
s_0417[c],CHEBI:58213,18706033
s_0418[c],CHEBI:58320,3692773
s_0419[c],CHEBI:28938,223
s_0420[e],CHEBI:28938,223
s_0421[m],CHEBI:28938,223
s_0423[c],CHEBI:456215,15938965
s_0424[m],CHEBI:456215,15938965
s_0425[n],CHEBI:456215,15938965
s_0426[p],CHEBI:456215,15938965
s_0427[c],CHEBI:16567,5459842
s_0428[c],CHEBI:18366,
s_0429[m],CHEBI:18366,
s_0430[c],CHEBI:29265,
s_0431[m],CHEBI:29265,
s_0432[c],CHEBI:29158,
s_0433[m],CHEBI:29158,
s_0434[c],CHEBI:30616,5461108
s_0435[er],CHEBI:30616,5461108
s_0437[m],CHEBI:30616,5461108
s_0438[n],CHEBI:30616,5461108
s_0439[p],CHEBI:30616,5461108
s_0441[c],CHEBI:16958,239
s_0442[c],CHEBI:58579,21117974
s_0443[c],CHEBI:18396,45259170
s_0444[g],CHEBI:18396,45259170
s_0445[c],CHEBI:17544,769
s_0446[e],CHEBI:17544,769
s_0447[m],CHEBI:17544,769
s_0448[n],CHEBI:17544,769
s_0450[c],,
s_0451[c],CHEBI:57586,6560210
s_0452[e],CHEBI:57586,6560210
s_0453[c],CHEBI:62414,53239798
s_0454[m],CHEBI:58174,21158450
s_0455[c],CHEBI:58228,3423467
s_0456[c],CHEBI:16526,280
s_0457[er],CHEBI:16526,280
s_0458[e],CHEBI:16526,280
s_0460[m],CHEBI:16526,280
s_0461[n],CHEBI:16526,280
s_0462[p],CHEBI:16526,280
s_0465[m],CHEBI:17330,
s_0467[c],CHEBI:58069,20056867
s_0468[n],CHEBI:58069,20056867
s_0469[c],CHEBI:16436,13804
s_0474[c],CHEBI:57876,25202847
s_0475[er],CHEBI:52961,5283577
s_0476[g],CHEBI:52961,5283577
s_0477[m],CHEBI:52961,5283577
s_0478[er],CHEBI:52962,644245
s_0479[g],CHEBI:52962,644245
s_0480[m],CHEBI:52962,644245
s_0481[er],CHEBI:52979,10462091
s_0482[g],CHEBI:52979,10462091
s_0483[m],CHEBI:52979,10462091
s_0484[er],CHEBI:52980,10417280
s_0485[g],CHEBI:52980,10417280
s_0486[m],CHEBI:52980,10417280
s_0487[er],CHEBI:52371,53262287
s_0488[g],CHEBI:52371,53262287
s_0489[m],CHEBI:52371,53262287
s_0490[er],CHEBI:52372,53262288
s_0491[g],CHEBI:52372,53262288
s_0492[m],CHEBI:52372,53262288
s_0493[er],CHEBI:52373,52931127
s_0494[g],CHEBI:52373,52931127
s_0495[m],CHEBI:52373,52931127
s_0496[er],CHEBI:52374,52931128
s_0497[g],CHEBI:52374,52931128
s_0498[m],CHEBI:52374,52931128
s_0499[er],CHEBI:60256,53356672
s_0500[g],CHEBI:60256,53356672
s_0501[m],CHEBI:60256,53356672
s_0502[er],CHEBI:60384,53356671
s_0503[g],CHEBI:60384,53356671
s_0504[m],CHEBI:60384,53356671
s_0507[er],CHEBI:31013,5461023
s_0509[c],CHEBI:17029,24139
s_0510[ce],CHEBI:16261,441477
s_0511[ce],CHEBI:15354,305
s_0512[c],CHEBI:15354,305
s_0513[e],CHEBI:15354,305
s_0514[c],CHEBI:295975,3330960
s_0515[c],CHEBI:29748,5460312
s_0516[c],CHEBI:16383,5459816
s_0517[m],CHEBI:16383,5459816
s_0522[c],CHEBI:16947,31348
s_0523[e],CHEBI:16947,31348
s_0524[m],CHEBI:16947,31348
s_0525[p],CHEBI:16947,31348
s_0526[c],CHEBI:60377,7058165
s_0528[m],CHEBI:60377,7058165
