akg,2.6.1.19
ppi,3.6.1.19
prpp,2.4.2.14
pi,2.7.9.3
udp,1.17.4.1
phthr,4.2.3.1
iasp,1.4.3.16
nadp,1.2.1.8
dgtp,3.1.5.1
pan4p,2.7.7.3
cdp,1.17.4.1
nadp,1.1.1.94
amp,6.1.1.19
imp,2.4.2.8
f6p,2.7.1.11
amp,6.3.1.5
nadph,1.8.1.7
dhap,4.1.2.13
ppi,3.5.4.25
adp,2.7.1.56
atp,2.7.1.25
ppi,2.7.7.38
pphn,5.4.99.5
nicrnt,2.4.2.19
atp,2.4.2.17
ahcys,2.1.1.144
amp,6.1.1.1
dutp,3.5.4.13
2obut,2.2.1.6
atp,2.7.1.73
nadp,2.7.1.23
gtp,3.1.5.1
uamag,6.3.2.9
orn,2.1.3.3
nadp,1.5.1.39
amp,2.7.6.1
atp,2.7.1.89
dhpt,2.5.1.15
amet,2.5.1.6
adp,2.4.1.21
adp,2.7.1.30
adp,6.3.3.1
pi,3.1.3.27
nadph,1.1.1.44
3psme,2.5.1.19
kdo2lipid4,2.4.99.12
ppi,3.6.1.67
cu2,3.6.3.5
orn,3.5.1.16
atp,2.7.9.2
amp,6.2.1.1
pram,6.3.4.13
gdp,6.3.4.4
pi,2.5.1.55
atp,2.7.1.40
ac,3.5.1.16
akg,2.6.1.17
glyc3p,2.7.8.5
aacoa,2.3.1.9
imp,6.3.4.4
succ,6.2.1.5
mlthf,1.5.1.20
ctp,2.7.7.41
nadp,1.4.1.13
gmp,2.7.1.73
nadph,1.1.1.94
coa,2.3.1.79
ump,4.1.1.23
pydx5p,1.4.3.5
glyc3p,1.1.1.94
ppi,6.3.5.2
atp,4.6.1.1
atp,2.7.2.8
nadp,1.5.1.2
pi,2.5.1.6
nadp,1.1.1.40
gmp,2.4.2.8
ppi,2.5.1.3
ppi,2.7.7.3
pyr,4.1.3.3
amp,2.7.4.3
dhf,6.3.2.17
pi,2.4.2.3
nadh,1.2.1.22
gdp,1.17.4.1
ppi,6.1.1.21
accoa,2.3.3.16
ppi,6.3.2.1
pyr,2.8.1.2
uacgam,5.1.3.14
nadh,1.1.1.22
h2o2,1.11.1.6
adp,6.3.2.8
akg,2.6.1.42
4hbz,4.1.3.40
adp,3.6.3.14
3pg,1.1.1.95
6hmhpt,4.1.2.25
prpp,2.4.2.9
dctp,3.6.1.19
amet,2.1.1.10
pi,6.3.3.1
